Title;Speaker;Place;Day;Time;Description
Lockdown - Make sure your information is secure;Jacob Harris (The New York Times), Steve Doig (Arizona State University);Illinois Central;Saturday;11 a.m. - 11:50 a.m.;In an age of increasing electronic surveillance by governments and corporations, journalists owe it to their confidential sources to be extra-careful about keeping their identities and other information absolutely secure. This session will explain how to use tools like anonymous servers, burner cellphones and cryptography programs to keep your data and contacts safe from prying eyes.
"Rapid fire future: Quick talks on what&#39;s on the horizon";Matt Waite (University of Nebraska);New York Central;Saturday;11 a.m. - 11:50 a.m.;Struggling to keep up? Want to know what's on the horizon but not ready for prime time yet? This panel, in short bursts, gives you a taste of tech and ideas on the cusp of becoming tomorrow's tools for journalists. Drones, learning machines, distributed computing and more, all on the horizon and maybe in your newsroom soon.
Dealing with real-time data;Alastair Dant (The Guardian);Missouri Pacific;Saturday;11 a.m. - 11:50 a.m.;Time flows through every news story - online, we zoom from long-running chronologies to minute-by-minute updates. Real-time sources pose problems in both the design and development of digital content. Here are a few ideas about how we can face these challenges.
PowerPivot;Tom Torok (The New York Times);Wabash Cannonball;Saturday;11 a.m. - 11:50 a.m.;The session will cover importing and joining very large data sets as well as pivoting and filtering with slicers using PowerPivot, a free add-in for Excel 2010.
Census.ire.org;Joe Germuska (Chicago Tribune);Grand Hall I;Saturday;11 a.m. - 11:50 a.m.;
CAR wash 1: How dirty is it?;Jennifer LaFleur (ProPublica);Jeffersonian/Knickerbocker;Saturday;11 a.m. - 11:50 a.m.;
Web scraping;Mark Ng (Donald W. Reynolds National Center for Business Journalism);Grand Hall II;Saturday;11 a.m. - 11:50 a.m.;Some of the most useful datasets are on the Web, and while they don't require FOIAs, you might need to do some work to get them into your spreadsheets. In this class, we'll take a look at techniques for mining data from the Web and making it useful.
Government CAR for any newsroom;Jim Miller (The Press Enterprise), Mc Nelly Torres (Florida Center for Investigative Reporting);Frisco/Burlington;Saturday;11 a.m. - 11:50 a.m.;Budgets, audits, contracts, businesses, sweet deals and corruption are all part of government coverage. Whether you work in a large newsroom or one-person bureau, we'll show you how to use all the technology available to follow the money and produce quick hits and/or in-depth stories.
Creative uses of web scraping;Dan Nguyen (ProPublica), Julian Todd (Scraperwiki), Aine McGuire (Scraperwiki);New York Central;Saturday;2 p.m. - 2:50 p.m.;Web scraping is more than just copying HTML files onto your computer for later reading. Knowing how to navigate a variety of website types and formats will let you create useful, structured data from complex websites.
Displaying data geographically with ArcView;Tom Meagher (The Star-Ledger);Wabash Cannonball;Saturday;2 p.m. - 2:50 p.m.;"
"
Mini-Boot Camp part 2;Jaimi Dowdell (IRE and NICAR), David Herzog (IRE and NICAR), Jennifer LaFleur (ProPublica), Megan Luther (IRE and NICAR), Ron Nixon (The New York Times), David Donald (Center for Public Integrity);"Grand Hall I&amp;II *pre-registration only";Saturday;2 p.m. - 4:50 p.m.;
What we can find out about elections;Aaron Bycoffe (Huffington Post), Derek Willis (The New York Times), Jeremy Dunck (Votizen.com);Illinois Central;Saturday;2 p.m. - 2:50 p.m.;Between microtargeted ads, near real-time disclosure of finances and troves of increasingly available data, the tools of the modern campaigns are much different than they used to be. Journalists need to catch up. This session explores ways to cope with the rapid developments in elections and how to build tools that will help uncover the story.
CAR wash 2: Cleaning;Jennifer LaFleur (ProPublica);Jeffersonian/Knickerbocker;Saturday;2 p.m. - 2:50 p.m.;
Map graphics for video;Michael Corey (Center for Investigative Reporting);Missouri Pacific;Saturday;2 p.m. - 2:50 p.m.;Learn how to use the wealth of freely available satellite imagery and other GIS materials to make high-quality video graphics on an affordable budget.
Integrating CAR into a daily beat;Megan Luther (IRE and NICAR), Kate Martin (Skagit Valley Herald);Frisco/Burlington;Saturday;2 p.m. - 2:50 p.m.;It can be tough to do CAR and meet your daily story quota, but it can be done. We feature organizing tips, ways to improve efficiency and how to negotiate with your editor for CAR time. We also will highlight quick-hit CAR stories and ways to insert CAR nuggets into your daily stories.
Importing and selecting data by attribute with ArcView;Janet Roberts (Thomson Reuters);Wabash Cannonball;Saturday;3 p.m. - 3:50 p.m.;"
"
Web Inspector;Dan Nguyen (ProPublica);Jeffersonian/Knickerbocker;Saturday;3 p.m. - 3:50 p.m.;Learn how to use the web browser's built-in web inspector to navigate the source details and structure of a webpage. The tool is most often used by web developers to debug and design sites, but it's equally useful for poking around and finding hidden data files
Automation and free text;Reg Chua (Thomson Reuters), Jonathan Stray (The Associated Press);New York Central;Saturday;3 p.m. - 3:50 p.m.;Data to text, and text to data. Some types of news stories are really dressed up data, such as financial reports and sports scores, and we'll take a look at the newsrooms and technologies that are already being used to produce these stories automatically. In the other direction, documents like financial disclosures or bulk incident reports contain useful data that can be extracted. Tools for reporting on large volumes of unstructured text are coming along slowly, but much is possible today.
Hidden databases: Mining the private parts of public officials;Ryann Grochowski (Investigative Newsource), Russ Ptacek (KSHB-TV);Frisco/Burlington;Saturday;3 p.m. - 3:50 p.m.;"Tools to identify usernames and e-mail addresses used by politicians and others and how to use that data to track the subject&rsquo;s digital footprint from dating sites, social networks, and even the documents that reveal the &ldquo;private parts&rdquo; of public officials. We'll also look at little-known data sources that reporters can request about their congressmen and women. You'll leave with a list of these data sources, where you can request them, and ideas for stories you can get out of them."
Predicting the news: Tell your readers what will happen, before it happens;Mary Jo Webster (St. Paul Pioneer Press), Matt Wynn (Omaha World-Herald), Jeff Larson (ProPublica);Illinois Central;Saturday;3 p.m. - 3:50 p.m.;"We often report on things that have already happened, but statistical techniques can predict events before they occur. See how knowing what will happen &mdash; or what should have happened &mdash; can reveal new kinds of stories."
Hacking the Census;Paul Overberg (USA TODAY);Missouri Pacific;Saturday;3 p.m. - 4:50 p.m.;
Environmental analyses for any newsroom;Elizabeth Lucas (Center for Public Integrity), Kate Golden (Wisconsin Watch);Frisco/Burlington;Saturday;4 p.m. - 4:50 p.m.;"Key federal environmental data sets: how to get them and navigate their endless caveats. Some possibilities for state environmental data &mdash; and what to do when regulators aren't tracking the data you need. Using visualization tools like Tableau Public and Google Fusion Tables to find stories in those messy data. One example we'll use is CPI/NPR's ""Poisoned Places"" 2011 investigation of coal-fired power plants; Lucas led CPI's data analysis for that story, and Golden produced a Wisconsin-specific viz."
PANDA Project provisioning party;Brian Boyer (Chicago Tribune), Christopher Groskopf (PANDA);Jeffersonian/Knickerbocker;Saturday;4 p.m. - 4:50 p.m.;Take home a present from your trip to St. Louis -- a PANDA for your newsroom! The PANDA Project team will walk you through the easy steps to set up a site on Amazon Web Services.
When data visualization does the heavy lifting;John Bones (Verdens Gang), Ken Schwencke (Los Angeles Times);New York Central;Saturday;4 p.m. - 4:50 p.m.;
Getting to yes: Battling data pricetag inflation and other roadblocks;Ryan McNeill (The Dallas Morning News), Mary Jo Webster (St. Paul Pioneer Press);Illinois Central;Saturday;4 p.m. - 4:50 p.m.;What do you do when a government agency wants you to pay hundreds or even thousands of dollars for data? Panelists will offer up tactics for negotiating, examples of common problems that often lead to inflated price tags and some success stories.
Geocoding to merge databases with addresses into maps with ArcView;Pam Dempsey (cu-citizenaccess.org);Wabash Cannonball;Saturday;4 p.m. - 4:50 p.m.;"
"
Webscraping/data munging hackathon with Python;Jeremy Bowers (The Washington Post), Serdar Tumgoren (The Washington Post);Grand Hall III;Sunday;9 a.m. - 10:50 a.m.;An open session for help on any Python-related subject, from basic install questions to help on work or personal coding projects.
Mini-Boot Camp part 3;Coulter Jones (IRE and NICAR), Jaimi Dowdell (IRE and NICAR), Jennifer LaFleur (ProPublica);"Grand Hall I&amp;II *pre-registration only";Sunday;9 a.m. - 10:50 a.m.;"
"
Mining the web for data and stories;Jaimi Dowdell (IRE and NICAR);New York Central;Sunday;9 a.m. - 9:50 a.m.;"The Web is one of the first places we go for information, but so much of it is hidden deep beyond search engines&rsquo; eyes. This session will highlight strategies for finding data that can&rsquo;t be found with a traditional search engine and will point you to the best sites for tracking down local, national and international data."
Data U: The databases you need to cover higher ed;Alex Richards (Chronicle of Higher Education), Holly Hacker (The Dallas Morning News);Illinois Central;Sunday;9 a.m. - 9:50 a.m.;A wealth of information is at your fingertips when it comes to putting colleges in context for your readers. This panel touches on the resources at the national, state and campus level that you need to know about to make it happen.
Storyboarding your ideas;Sarah Cohen (Duke University), Brant Houston (University of Illinois);New York Central;Sunday;10 a.m. - 10:50 a.m.;Don't leave the CAR conference without a battle plan for putting your new knowledge and skills to work back home. In this freewheeling group session, we'll discuss your story ideas, flesh them out, and develop strategies for doing them amid the daily demands of every newsroom. We'll talk about navigating office politics and help you develop a personal action plan.
A day in the life of a News App: An intro to Internet infrastructure;Jeff Larson (ProPublica), Ted Han (DocumentCloud);Illinois Central;Sunday;10 a.m. - 10:50 a.m.;CAR reporters and News Apps developers have many similar skills. But what differences they do have can be illuminated through the lives of web applications. We'll discuss the specifics of how web apps do their thing, and in general about what you need to know about the internet to understand how web apps work.
